,age,annual_income,spending_score,female,male,customer_type
0,19,15,39,0,1,4
1,21,15,81,0,1,1
2,20,16,6,1,0,4
3,23,16,77,1,0,1
4,31,17,40,1,0,4
5,22,17,76,1,0,1
6,35,18,6,1,0,4
7,23,18,94,1,0,1
8,64,19,3,0,1,4
9,30,19,72,1,0,1
10,67,19,14,0,1,4
11,35,19,99,1,0,1
12,58,20,15,1,0,4
13,24,20,77,1,0,1
14,37,20,13,0,1,4
15,22,20,79,0,1,1
16,35,21,35,1,0,4
17,20,21,66,0,1,1
18,52,23,29,0,1,4
19,35,23,98,1,0,1
20,35,24,35,0,1,4
21,25,24,73,0,1,1
22,46,25,5,1,0,4
23,31,25,73,0,1,1
24,54,28,14,1,0,4
25,29,28,82,0,1,1
26,45,28,32,1,0,4
27,35,28,61,0,1,1
28,40,29,31,1,0,4
29,23,29,87,1,0,1
30,60,30,4,0,1,4
31,21,30,73,1,0,1
32,53,33,4,0,1,4
33,18,33,92,0,1,1
34,49,33,14,1,0,4
35,21,33,81,1,0,1
36,42,34,17,1,0,4
37,30,34,73,1,0,1
38,36,37,26,1,0,4
39,20,37,75,1,0,1
40,65,38,35,1,0,4
41,24,38,92,0,1,1
42,48,39,36,0,1,4
43,31,39,61,1,0,1
44,49,39,28,1,0,4
45,24,39,65,1,0,1
46,50,40,55,1,0,0
47,27,40,47,1,0,0
48,29,40,42,1,0,0
49,31,40,42,1,0,0
50,49,42,52,1,0,0
51,33,42,60,0,1,0
52,31,43,54,1,0,0
53,59,43,60,0,1,0
54,50,43,45,1,0,0
55,47,43,41,0,1,0
56,51,44,50,1,0,0
57,69,44,46,0,1,0
58,27,46,51,1,0,0
59,53,46,46,0,1,0
60,70,46,56,0,1,0
61,19,46,55,0,1,0
62,67,47,52,1,0,0
63,54,47,59,1,0,0
64,63,48,51,0,1,0
65,18,48,59,0,1,0
66,43,48,50,1,0,0
67,68,48,48,1,0,0
68,19,48,59,0,1,0
